scene_id,line_id,speaker,emotion_note,text_raw,text_with_emoji,caption,cfg_text,cfg_caption,cfg_speaker,num_steps,num_candidates,seed,status,approved_candidate,notes
s1_mid,line_001,白雨,"恐怖,困惑",（…… ⏸️ くっ…… ⏸️ 体が……動かない……）,😱😖 （…… ⏸️ くっ…… ⏸️ 体が……動かない……） 😖,若い女性が、クールで低めの声で、動揺を必死に抑えようとしながらも声が震えて話している。,5.0,5.0,5.0,30,3,3425276206823155131,approved,3,intensity=medium
s1_mid,line_002,白雨,"恥じらい,困惑",（あっ…… ⏸️ 乳首が…… ⏸️ 熱い……こんなところで母乳が……出てる……？）,🫣😖 （あっ…… ⏸️ 乳首が…… ⏸️ 熱い……こんなところで母乳が……出てる……？） 😖,若い女性が、クールで低めの声で、動揺を必死に抑えようとしながらも声が震えて話している。,5.0,5.0,5.0,30,3,7594620608787640164,approved,3,intensity=medium
s1_mid,line_003,白雨,"絶望,恥じらい",（私はれいざんのばんにんなのに…… ⏸️ こんな恥ずかしいこと…… ⏸️ 絶対に許されないのに……）,😭🫣 （私はれいざんのばんにんなのに…… ⏸️ こんな恥ずかしいこと…… ⏸️ 絶対に許されないのに……） 🫣,若い女性が、クールで低めの声で、動揺を必死に抑えようとしながらも声が震えて話している。,5.0,5.0,5.0,30,3,5520685582209894038,approved,3,intensity=medium
s1_mid,line_004,白雨,"恐怖,拒絶",…… ⏸️ やめて…… ⏸️ 離れなさい……っ！,😱 …… ⏸️ やめて…… ⏸️ 離れなさい……っ！,若い女性が、クールで低めの声で、動揺を必死に抑えようとしながらも声が震えて話している。,5.0,5.0,5.0,30,3,1183880043840323499,approved,3,intensity=medium
s1_mid,line_005,白雨,"喘ぎ(弱),恥じらい,困惑",（体が熱くて…… ⏸️ おまんこがびくびくしてる…… ⏸️ 嫌なのに……気持ちいい……）,🥵🫣😖 （体が熱くて…… ⏸️ おまんこがびくびくしてる…… ⏸️ 嫌なのに……気持ちいい……） 😖,若い女性が、クールで低めの声で、動揺を必死に抑えようとしながらも声が震えて話している。,5.0,5.0,5.0,30,3,1802870668393233468,approved,3,intensity=medium
s1_mid,line_006,白雨,"喘ぎ(弱),困惑",（子宮が…… ⏸️ じゅんじゅん疼いて…… ⏸️ 母になるって……思っちゃう……だめ……）,🥵😖 （子宮が…… ⏸️ じゅんじゅん疼いて…… ⏸️ 母になるって……思っちゃう……だめ……） 😖,若い女性が、クールで低めの声で、動揺を必死に抑えようとしながらも声が震えて話している。,5.0,5.0,5.0,30,3,5952883420459258073,approved,3,intensity=medium
s1_mid,line_007,白雨,"喘ぎ(強),絶頂",んあぁぁっ…… ⏸️ ！　乳が…… ⏸️ おまんこが……同時に……イッちゃう……,🥵😱 んあぁぁっ…… ⏸️ ！　乳が…… ⏸️ おまんこが……同時に……イッちゃう…… 🥵😱💦,若い女性が、感情が限界に達して、低めの声が崩れながら荒い息交じりに声を漏らしている。,7.0,7.0,5.0,30,3,2440929437546222273,approved,3,intensity=strong
s1_mid,line_008,白雨,"喘ぎ(強),絶頂,困惑",（おまんこの奥が…… ⏸️ 幼虫の体でかき回されて…… ⏸️ 子宮が締まって……もう……イキそう……）,🥵😱😖 （おまんこの奥が…… ⏸️ 幼虫の体でかき回されて…… ⏸️ 子宮が締まって……もう……イキそう……） 😱😖💦,若い女性が、感情が限界に達して、低めの声が崩れながら荒い息交じりに声を漏らしている。,7.0,7.0,5.0,30,3,4436136140589413348,approved,3,intensity=strong
s1_mid,line_009,白雨,"喘ぎ(強),絶頂,崩壊",（もう…… ⏸️ 抵抗できない…… ⏸️ 乳首が吸われるたびに……子宮が締まる……）,🥵😱😭 （もう…… ⏸️ 抵抗できない…… ⏸️ 乳首が吸われるたびに……子宮が締まる……） 😱😭💦,若い女性が、感情が限界に達して、低めの声が崩れながら荒い息交じりに声を漏らしている。,7.0,7.0,5.0,30,3,4540108673194380999,approved,3,intensity=strong
s1_mid,line_010,白雨,"喘ぎ(強),甘え,崩壊",（私は…… ⏸️ この子たちの…… ⏸️ お母さんになりたい……？）,🥵😏😭 （私は…… ⏸️ この子たちの…… ⏸️ お母さんになりたい……？） 😏😭💦,若い女性が、感情が限界に達して、低めの声が崩れながら荒い息交じりに声を漏らしている。,7.0,7.0,5.0,30,3,1503581214416398166,approved,3,intensity=strong
