scene_id,line_id,speaker,emotion_note,text_raw,text_with_emoji,caption,cfg_text,cfg_caption,cfg_speaker,cfg_guidance_mode,num_steps,num_candidates,seed,lora_path,lora_scale,status,approved_candidate,notes
confessional_futanari,line_001,マリア,"恥じらい,困惑",（はぁ…… ⏸️ 聞こえていますか…… ⏸️ ？）,🥵🫣 （はぁ……聞こえていますか……？） 🫣,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,171925862183605148,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_002,マリア,"甘え,囁き",ふふ…… ⏸️ こんにちは…… ⏸️ 私はシスター・マリアと申します……,🥵💋 ふふ……こんにちは……私はシスター・マリアと申します…… 💋,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,5393930617765207744,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=weak
confessional_futanari,line_003,マリア,"甘え,囁き",きょうも懺悔室でお待ちしておりました…… ⏸️ どうぞ、心に溜まった罪をお話しください……,🥵💦 今日も懺悔室でお待ちしておりました……どうぞ、心に溜まった罪をお話しください…… 💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,5869237341169053980,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=weak
confessional_futanari,line_004,マリア,"恥じらい,困惑",（…… ⏸️ はぁ…… ⏸️ きょうもこんな大きな爆乳を押しつぶすようにして……懺悔を聞いているなんて……恥ずかしいわ……）,🥵🫣 （……はぁ……今日もこんな大きな爆乳を押しつぶすようにして……懺悔を聞いているなんて……恥ずかしいわ……） 🫣💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,7071097289171195677,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_005,マリア,"甘え,囁き",ん…… ⏸️ そう…… ⏸️ そのような淫らな考えが……頭から離れないのですね……,🥵💋 ん……そう……そのような淫らな考えが……頭から離れないのですね…… 💋,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,2879681722391920326,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=weak
confessional_futanari,line_006,マリア,"甘え,囁き",神様に許しを乞う心で…… ⏸️ ゆっくりとお話しなさい…… ⏸️ マリアお姉さんが、ちゃんと聞いてあげますから……,🥵💦 神様に許しを乞う心で……ゆっくりとお話しなさい……マリアお姉さんが、ちゃんと聞いてあげますから…… 💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,3702250500302962972,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=weak
confessional_futanari,line_007,マリア,"驚き,恥じらい",（あ…… ⏸️ っ…… ⏸️ ！？）,😱🥵 （あ……っ……！？） 😱,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,7916001673795775881,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_008,マリア,"恥じらい,動揺",（…… ⏸️ きゃっ…… ⏸️ ！　後ろから突然……！）,😱🫣 （……きゃっ……！　後ろから突然……！） 🫣,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,7732145991666637496,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_009,マリア,"恥じらい,喘ぎ(弱)",…… ⏸️ ふ、ふぅ…… ⏸️ だ、だめ……今……懺悔を……聞いている最中……ですのに……,🥵🫣 ……ふ、ふぅ……だ、だめ……今……懺悔を……聞いている最中……ですのに…… 🫣,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,5339024874077723768,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_010,マリア,"喘ぎ(弱),恥じらい",他のシスター…… ⏸️ い、いきなり…… ⏸️ マリアお姉さんの……スカートの中に手を……あんっ……,🥵💦 他のシスター……い、いきなり……マリアお姉さんの……スカートの中に手を……あんっ…… 💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,853793595706590377,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_011,マリア,"喘ぎ(強),息切れ",はぁ…… ⏸️ はぁん……,🥵😮‍💨💦 はぁ……はぁん…… 😭💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,2988579459159765002,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_012,マリア,"恥じらい,拒絶",だめよ…… ⏸️ ここは神聖な懺悔室…… ⏸️ 信者様の声がまだ聞こえているのに……,🥵🫣 だめよ……ここは神聖な懺悔室……信者様の声がまだ聞こえているのに…… 🫣,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,8946550659028205257,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_013,マリア,"喘ぎ(弱),恥じらい",それなのに…… ⏸️ あなたの熱くて硬い…… ⏸️ ふたなりのおちんぽが……マリアお姉さんの太ももに擦りつけられて……,🥵💦 それなのに……あなたの熱くて硬い……ふたなりのおちんぽが……マリアお姉さんの太ももに擦りつけられて…… 💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,4330171631094240048,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
confessional_futanari,line_014,マリア,"喘ぎ(強),恥じらい",ん゛…… ⏸️ あ゛…… ⏸️ ！　お、お願い……少しだけ……静かにして……,🥵😮‍💨💦 ん゛……あ゛……！　お、お願い……少しだけ……静かにして…… 😭,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,7514156473755984260,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=strong
confessional_futanari,line_015,マリア,"恥じらい,困惑",信者様に…… ⏸️ マリアお姉さんがこんな淫らな声を…… ⏸️ 聞かれてしまっては……,🥵🫣 信者様に……マリアお姉さんがこんな淫らな声を……聞かれてしまっては…… 🫣💦,清潔感のある凛とした女性が、澄んだ美しい声で丁寧に話している。,3.5,5.0,5.0,alternating,50,3,1962672982570231247,D:/irodori/emoji/lora/suzushiro_sayumi_v1/lora_checkpoint_final_ema,1.0,generated,,intensity=medium
